"meeting_schedule_modify_sales";"Planning RDV modifier les commerciaux"
"meeting_import";"importer les RDVs"
"filter_meeting_callcenter";"filtre callcenter (rendez vous)"
"settings_meeting_campaign";"configurer campagne RDV"
"settings_meeting_statuscall";"configurer rapport callcenter"
"settings_meeting_type";"configurer type RDV"
"meeting_modify_callstatus";"modifier rapport callcenter"
"meeting_display_state";"afficher rapport RDV"
"meeting_modify_qualified";"modifier qualification"
"meeting_modify_type";"modifier type"
"meeting_modify_campaign";"modifier campagne"
"meeting_modify_callcenter";"modified callcenter"
"meeting_display_callstatus";"afficher rapport callcenter"
"meeting_view_list_qualification";"afficher qualification liste"
"meeting_display_callstatus";"afficher status call"
"meeting_view_list_state";"afficher state liste"
"meeting_view_list_campaign";"afficher campaigne liste"
"meeting_view_list_callcenter";"afficher callcenter liste"
"meeting_view_list_type";"RDV:Liste:Afficher colonne type"
"meeting_view_list_callstatus";"afficher call status liste"
"meeting_view_list_confirmed";"afficher confimation liste"
"meeting_view_list_status";"afficher status liste"
"meeting_view_list_team";"afficher équipe liste"
"meeting_display_type";"afficher le type"
"meeting_display_callstatus";"afficher le rapport callcenter"                      
"meeting_display_qualified";"afficher la qualification"
"meeting_view_list_sale1";"afficher commercial 1 liste"
"meeting_display_sale1";"afficher commercial 1"
"meeting_modify_sale1";"modifier commercial 1"
"meeting_view_list_sale2";"afficher commercial 2 liste"
"meeting_display_sale2";"afficher commercial 2" 
"meeting_modify_sale2";"modifier commercial 2"                   
"meeting_view_list_telepro";"afficher télépro liste"
"meeting_display_telepro";"affiche télépro"
"meeting_modify_telepro";"modifier télépro"
"meeting_view_list_assistant";"afficher assistant liste"
"meeting_display_assistant";"afficher assistant"
"meeting_modify_assistant";"modifier assistant"
"meeting_view_list_comments";"afficher les commentaires sur liste"
"meeting_view_comments";"afficher les commentaires"
"meeting_view_sale_comments";"afficher les commentaires commercial"
"meeting_modify_sale_comments";"modifier les commentaires commercial"
"meeting_assistant_as_user";"utilisateur comme assistant"
"meeting_view_callcenter_comments";"afficher commentaires callcenter"
"meeting_callcenter_comments_new";"créer un commentaire callcenter"
"meeting_display_lead_status";"afficher le rapport RDV liste"
"meeting_view_list_lead_status";"afficher le rapport RDV"
"meeting_view_modify_lead_status";"modifier le rapport RDV"
"meeting_modify_lead_status";"modifier le rapport RDV"
"meeting_schedule_filter_confirmed";"planning rdv filtre confirmation"
"meeting_callcenter_comments_user_view";"afficher utilisateur dans commentaires callcenter"
"meeting_view_list_treatment_date";"afficher la date de traitement dans la liste"
"meeting_display_treatment_date";"afficher la date de traitement"
"meeting_modify_treatment_date";"modifier la date de traitement"
"meeting_view_all";"afficher tous les RDV"
"meeting_view_telepro";"afficher les RDVs télépro"
"meeting_view_sale";"afficher les RDVs commercial"
"meeting_view_assistant";"autoriser le RDV pour assistant"
"meeting_list_records";"Enregistrements appel RDV"
"contract_list_records";"Enregistrements appel client"
"meeting_create_contract";"Créer un contrat"
"filter_meeting_telepro_list";"filtre RDV télépro"
"filter_meeting_telepro_manager_list";"filtre RDV responsable télépro"
"filter_meeting_commercial_list";"filtre RDV commercial"
"filter_meeting_sales_manager_list";"filtre RDV responsable commercial"
"filter_meeting_assistant_list";"filtre RDV assistant"
"filter_meeting_callcenter_list";"filtre RDV call center"
"filter_meeting_schedule_telepro_list";"filtre planning RDV"
"filter_meeting_schedule_commercial_list";"filtre planning RDV commercial"
"filter_meeting_schedule_telepro_manager_list";"filtre planning RDV responsable télépro"
"filter_meeting_schedule_sales_manager_list";"filtre planning RDV responsable commercial"
"filter_meeting_schedule_callcenter_list";"filtre planning RDV callcenter"
"settings_user_group_copy";"copier un groupe"
"users_task_new_from";"destinataire pour création d'une tâche"
"users_task_view_from";"destinataire pour édition d'une tâche"
